"Abbrev","Full Title","Trnsl. Title","Publ.","Relat. Jrl.","ISSN","New","High Density","Book Ser","Video Ser","Bibl. Jrl."
"Acta Numer.","Acta Numerica","","Cambridge Univ. Press, Cambridge.","","0962-4929","N","Y","N","N","N"
"Acta Phys. Polon. B","Jagellonian University. Institute of Physics. Acta Physica Polonica B","","Jagellonian Univ., Krakow.","","0587-4254","N","N","N","N","N"
"Acta Sci. Math. (Szeged)","Acta Universitatis Szegediensis. Acta Scientiarum Mathematicarum","","Univ. Szeged, Szeged.","","0001-6969","N","Y","N","N","N"
"Acta Sci. Natur. Univ. Pekinensis","","","","See Beijing Daxue Xuebao Ziran Kexue Ban","","N","N","N","N","N"
"Acta Sci. Natur. Univ. Sunyatseni","Acta Scientiarum Naturalium Universitatis Sunyatseni. Zhongshan Daxue Xuebao. Ziran Kexue Ban","","J. Zhongshan Univ., Editor. Dept., Guangzhou.","","0529-6579","N","N","N","N","N"
"Acta Tech.","Acta Technica","","Inst. Thermomech. AS CR, v.v.i., Prague.","","0001-7043","N","N","N","N","N"
"Acta Univ. Apulensis Math. Inform.","Acta Universitatis Apulensis. Mathematics. Informatics","","``1 Dec. 1918'' Univ. Alba Iulia, Dep. Math. Inform., Alba Iulia.","","1582-5329","N","N","N","N","N"
"Acta Univ. Carolin. Math. Phys.","Acta Universitatis Carolinae. Mathematica et Physica","","Univ. Karlova, Prague.","","0001-7140","N","Y","N","N","N"
"Acta Univ. M. Belii Ser. Math.","Acta Universitatis Matthiae Belii. Series Mathematics","","Sci. Res. Inst. Matej Bel Univ., Banska Bystrica.","","","N","Y","N","N","N"
"Acta Univ. Oulu. Ser. A Sci. Rerum Natur.","Acta Universitatis Ouluensis. Series A. Scientiae Rerum Naturalium","","Univ. Oulu, Oulu.","","0355-3191","N","N","N","N","N"
"Acta Univ. Palack. Olomuc. Fac. Rerum Natur. Math.","Acta Universitatis Palackianae Olomucensis. Facultas Rerum Naturalium. Mathematica","","Palacky Univ. Olomouc, Olomouc.","","0231-9721","N","Y","N","N","N"
"Acta Univ. Sapientiae Math.","Acta Universitatis Sapientiae. Mathematica. An International Journal of the Sapientia University","","Acta Univ. Sapientiae Math., Cluj-Napoca.","","1844-6094","N","N","N","N","N"
"Acta Univ. Upsaliensis Skr. Uppsala Univ. C Organ. Hist.","Acta Universitatis Upsaliensis. Skrifter rorande Uppsala Universitet. C. Organisation och Historia","Acta Universitatis Upsaliensis. Publications concerning Uppsala University. C. Organization and History","Uppsala Universitet, Uppsala.","","0502-7454","N","N","Y","N","N"
"Actas Congr. ``Dr. Antonio A. R. Monteiro''","Actas del Congreso ``Dr. Antonio A. R. Monteiro''","Proceedings of ``Dr. Antonio A. R. Monteiro'' Congress of Mathematics","Univ. Nac. del Sur, Bahia Blanca.","","0327-9170","N","N","Y","N","N"
"Adapt. Comput. Mach. Learn.","Adaptive Computation and Machine Learning","","MIT Press, Cambridge, MA.","","","N","N","Y","N","N"
"Adapt. Learn. Optim.","Adaptation, Learning, and Optimization","","Springer, Berlin.","","1867-4534","N","N","Y","N","N"
"Adv. Adapt. Data Anal.","Advances in Adaptive Data Analysis. Theory and Applications","","World Sci. Publishing, Singapore.","","1793-5369","N","N","N","N","N"
"Adv. Algebra Anal.","Advances in Algebra and Analysis","","UMRI Scientific Vision, Delhi.","","0973-2306","N","Y","N","N","N"
"Adv. Appl. Clifford Algebr.","Advances in Applied Clifford Algebras","","Birkhauser, Basel.","","0188-7009","N","N","N","N","N"
"Adv. Appl. Discrete Math.","Advances and Applications in Discrete Mathematics","","Pushpa, Allahabad.","","0974-1658","N","Y","N","N","N"
"Adv. Appl. Fluid Mech.","Advances and Applications in Fluid Mechanics","","Pushpa, Allahabad.","","0973-4686","N","N","N","N","N"
"Adv. Appl. Math. Mech.","Advances in Applied Mathematics and Mechanics","","Glob. Sci. Pr., Hong Kong.","","2070-0733","N","N","N","N","N"
"Adv. Appl. Math. Sci.","Advances and Applications in Mathematical Sciences","","Mili Publications, Allahabad.","","0974-6803","Y","N","N","N","N"
"Adv. Appl. Stat.","Advances and Applications in Statistics","","Pushpa, Allahabad.","","0972-3617","N","N","N","N","N"
"Adv. Appl. Stat. Sci.","Advances and Applications in Statistical Sciences","","Mili Publications, Allahabad.","","0974-6811","Y","N","N","N","N"
"Adv. Calc. Var.","Advances in Calculus of Variations","","De Gruyter, Berlin.","","1864-8258","N","Y","N","N","N"
"Adv. Complex Syst.","Advances in Complex Systems. A Multidisciplinary Journal","","World Sci. Publ., Singapore.","","0219-5259","N","N","N","N","N"
"Adv. Comput. Fluid Dyn.","Advances in Computational Fluid Dynamics","","World Sci. Publ., Hackensack, NJ.","","","Y","N","Y","N","N"
"Adv. Comput. Math.","Advances in Computational Mathematics","","Springer, New York.","","1019-7168","N","Y","N","N","N"
"Adv. Comput. Sci. Eng. Texts","Advances in Computer Science and Engineering: Texts","","Imp. Coll. Press, London.","","","Y","N","Y","N","N"
"Adv. Courses Math. CRM Barcelona","Advanced Courses in Mathematics. CRM Barcelona","","Birkhauser/Springer Basel AG, Basel.","","","N","N","Y","N","N"
"Adv. Data Anal. Classif.","Advances in Data Analysis and Classification. ADAC","","Springer, Berlin.","","1862-5347","N","N","N","N","N"
"Adv. Decis. Sci.","Advances in Decision Sciences","","Hindawi Publ. Corp., New York.","","2090-3359","N","N","N","N","N"
"Adv. Des. Control","Advances in Design and Control","","SIAM, Philadelphia, PA.","","","N","N","Y","N","N"
"Adv. Differ. Equ. Control Process.","Advances in Differential Equations and Control Processes","","Pushpa, Allahabad.","","0974-3243","N","Y","N","N","N"
"Adv. Difference Equ.","Advances in Difference Equations","","Hindawi Publ. Corp., New York.","Continued as Adv. Difference Equ.","1687-1839","N","Y","N","N","N"
"Adv. Difference Equ.","Advances in Difference Equations","","Springer, Berlin.","Formerly Adv. Difference Equ.","1687-1847","Y","Y","N","N","N"
"Adv. Differential Equations","Advances in Differential Equations","","Khayyam, Athens, OH.","","1079-9389","N","Y","N","N","N"
"Adv. Dyn. Syst. Appl.","Advances in Dynamical Systems and Applications","","Res. India Publ., Delhi.","","0973-5321","N","Y","N","N","N"
"Adv. Econom.","Advances in Econometrics","","Emerald/JAI, Bingley.","","0731-9053","N","N","Y","N","N"
"Adv. Exp. Med. Biol.","Advances in Experimental Medicine and Biology","","Springer, New York.","","","N","N","Y","N","N"
"Adv. Fuzzy Sets Syst.","Advances in Fuzzy Sets and Systems","","Pushpa, Allahabad.","","0973-421X","N","N","N","N","N"
"Adv. Fuzzy Syst.","Advances in Fuzzy Systems","","Hindawi Publ. Corp., New York.","","1687-7101","N","N","N","N","N"
"Adv. Fuzzy Systems Appl. Theory","Advances in Fuzzy Systems---Applications and Theory","","World Sci. Publ., Hackensack, NJ.","","","N","N","Y","N","N"
"Adv. Geom.","Advances in Geometry","","De Gruyter, Berlin.","","1615-715X","N","Y","N","N","N"
"Adv. Geophys. Environ. Mech. Math.","Advances in Geophysical and Environmental Mechanics and Mathematics","","Springer, Berlin.","","1866-8348","Y","N","Y","N","N"
"Adv. High Energy Phys.","Advances in High Energy Physics","","Hindawi Publ. Corp., New York.","","1687-7357","N","N","N","N","N"
"Adv. in Appl. Math.","Advances in Applied Mathematics","","Elsevier, Inc., San Diego, CA.","","0196-8858","N","Y","N","N","N"
"Adv. in Appl. Probab.","Advances in Applied Probability","","Appl. Probab. Trust, Sheffield.","","0001-8678","N","Y","N","N","N"
"Adv. Ind. Control","Advances in Industrial Control","","Springer, London.","","1430-9491","N","N","Y","N","N"
"Adv. Inf. Knowl. Process.","Advanced Information and Knowledge Processing","","Springer, London.","","1610-3947","N","N","Y","N","N"
"Adv. Lect. Math. (ALM)","Advanced Lectures in Mathematics (ALM)","","Int. Press, Somerville, MA.","","","N","N","Y","N","N"
"Adv. Lectures Math.","Advanced Lectures in Mathematics","","Vieweg + Teubner, Wiesbaden.","","0932-7134","N","N","Y","N","N"
"Adv. Math.","Advances in Mathematics","","Elsevier, Inc., Amsterdam.","","0001-8708","N","Y","N","N","N"
"Adv. Math. (China)","Advances in Mathematics (China). Shuxue Jinzhan","","Peking Univ. Press, Beijing.","","1000-0917","N","Y","N","N","N"
"Adv. Math. Commun.","Advances in Mathematics of Communications","","Am. Inst. Math. Sci. (AIMS), Springfield, MO.","","1930-5346","N","Y","N","N","N"
"Adv. Math. Econ.","Advances in Mathematical Economics","","Springer, Tokyo.","","1866-2226","N","N","Y","N","N"
"Adv. Math. Fluid Mech.","Advances in Mathematical Fluid Mechanics","","Birkhauser Verlag, Basel.","","","N","N","Y","N","N"
"Adv. Math. Phys.","Advances in Mathematical Physics","","Hindawi Publ. Corp., New York.","","1687-9120","N","Y","N","N","N"
"Adv. Math. Res.","Advances in Mathematics Research","","Nova Sci. Publ., Hauppauge, NY.","","","N","N","Y","N","N"
"Adv. Math. Sci.","Advances in the Mathematical Sciences","","Amer. Math. Soc., Providence, RI.","","","N","N","Y","N","N"
"Adv. Math. Sci. Appl.","Advances in Mathematical Sciences and Applications","","Gakkotosho, Tokyo.","","1343-4373","N","Y","N","N","N"
"Adv. Mech. Math.","Advances in Mechanics and Mathematics","","Springer, New York.","","1571-8689","N","N","Y","N","N"
"Adv. Model. Optim.","Advanced Modeling and Optimization. The Electronic International Journal","","ICI Publ. House, Bucharest.","","1841-4311","N","N","N","N","N"
"Adv. Neural Inf. Process. Syst.","Advances in Neural Information Processing Systems","","MIT Press, Cambridge, MA.","See also Neural Inf. Process. Ser.","1049-5258","N","N","Y","N","N"
"Adv. Nonlinear Stud.","Advanced Nonlinear Studies","","Adv. Nonlinear Stud., San Antonio, TX.","","1536-1365","N","Y","N","N","N"
"Adv. Nonlinear Var. Inequal.","Advances in Nonlinear Variational Inequalities. An International Journal","","Internat. Publ., Kingsville, TX.","","1092-910X","N","Y","N","N","N"
"Adv. Numer. Anal.","Advances in Numerical Analysis","","Hindawi Publ. Corp., New York.","","1687-9562","Y","Y","N","N","N"
"Adv. Oper. Res.","Advances in Operations Research","","Hindawi Publ. Corp., New York.","","1687-9147","Y","N","N","N","N"
"Adv. Partial Differ. Equ. (Basel)","Advances in Partial Differential Equations (Basel)","","Springer, Basel.","See also Oper. Theory Adv. Appl.","","N","N","Y","N","N"
"Adv. Pattern Recognit.","Advances in Pattern Recognition","","Springer, London.","","1617-7916","N","N","Y","N","N"
"Adv. Process Syst. Eng.","Advances in Process Systems Engineering","","World Sci. Publ., Hackensack, NJ.","","","Y","N","Y","N","N"
"Adv. Pure Appl. Math.","Advances in Pure and Applied Mathematics","","De Gruyter, Berlin.","","1867-1152","N","Y","N","N","N"
"Adv. Ser. Math. Phys.","Advanced Series in Mathematical Physics","","World Sci. Publ., Hackensack, NJ.","","","N","N","Y","N","N"
"Adv. Ser. Nonlinear Dynam.","Advanced Series in Nonlinear Dynamics","","World Sci. Publ., Hackensack, NJ.","","","N","N","Y","N","N"
"Adv. Ser. Stat. Sci. Appl. Probab.","Advanced Series on Statistical Science & Applied Probability","","World Sci. Publ., Hackensack, NJ.","","","N","N","Y","N","N"
"Adv. Stud. Contemp. Math. (Kyungshang)","Advanced Studies in Contemporary Mathematics (Kyungshang). Memoirs of the Jangjeon Mathematical Society","","Jangjeon Math. Soc., Hapcheon.","","1229-3067","N","Y","N","N","N"
"Adv. Stud. Pure Math.","Advanced Studies in Pure Mathematics","","Math. Soc. Japan, Tokyo.","","","N","N","Y","N","N"
"Adv. Stud. Theor. Phys.","Advanced Studies in Theoretical Physics","","Hikari, Ruse.","","1313-1311","N","N","N","N","N"
"Adv. Textb. Control Signal Process.","Advanced Textbooks in Control and Signal Processing","","Springer, London.","","","N","N","Y","N","N"
"Adv. Texts Econometrics","Advanced Texts in Econometrics","","Oxford Univ. Press, New York.","","","N","N","Y","N","N"
"Adv. Theor. Appl. Math.","Advances in Theoretical and Applied Mathematics","","Res. India Publ., Delhi.","","0973-4554","N","Y","N","N","N"
"Adv. Theor. Math. Phys.","Advances in Theoretical and Mathematical Physics","","Int. Press, Somerville, MA.","","1095-0761","N","Y","N","N","N"
"Adv. Topics Sci. Technol. China","Advanced Topics in Science and Technology in China","","Springer, Berlin.","","1995-6819","Y","N","Y","N","N"
"Adv. Unconv. Comput. Cell. Autom. Ser.","Advances in Unconventional Computing and Cellular Automata Series","","Old City Publ., Philadelphia, PA.","","","Y","N","Y","N","N"
"Aequationes Math.","Aequationes Mathematicae","","Birkhauser, Basel.","","0001-9054","N","Y","N","N","N"
"Afr. Diaspora J. Math.","African Diaspora Journal of Mathematics","","Math. Res. Publ., [s.l.].","Formerly Afr. Diaspora J. Math. (N.S.)","1539-854X","Y","Y","N","N","N"
"Afr. Diaspora J. Math. (N.S.)","African Diaspora Journal of Mathematics. New Series","","African Diaspora Journal of Mathematics, [s.l.].","Continued as Afr. Diaspora J. Math.","1539-854X","N","Y","N","N","N"
"Afr. J. Math. Phys.","African Journal of Mathematical Physics","","Group. Nat. Phys. Hautes Energies. GNPHE, Rabat-Agdal.","","","N","N","N","N","N"
"Afr. Mat.","Afrika Matematika","","Springer, Berlin.","Formerly Afrika Mat. (3)","1012-9405","Y","Y","N","N","N"
"Afr. Math. Ann. AFMA","Africa Mathematics Annals. AFMA. A Pan African Journal of Mathematics","","Afr. Math. Ann., Abidjan.","","2218-4414","Y","N","N","N","N"
"Afr. Stat.","Afrika Statistika","","Afrika Stat., Saint-Louis.","","0825-0305","N","Y","N","N","N"
"Afrika Mat. (3)","Afrika Matematika. Journal of the African Mathematical Union. Journal de l'Union Mathematique Africaine. Serie 3","","Union Math. Africaine, Caluire.","Continued as Afr. Mat.","","N","Y","N","N","N"
"AI Commun.","AI Communications. The European Journal on Artificial Intelligence","","IOS, Amsterdam.","","0921-7126","N","N","N","N","N"
"AIMS Libr. Ser.","African Institute of Mathematics Library Series","","Cambridge Univ. Press, Cambridge.","","","N","N","Y","N","N"
"AIMS Ser. Appl. Math.","AIMS Series on Applied Mathematics","","Am. Inst. Math. Sci. (AIMS), Springfield, MO.","","","N","N","Y","N","N"
"AIMS Ser. Differ. Equ. Dyn. Syst.","AIMS Series on Differential Equations & Dynamical Systems","","Am. Inst. Math. Sci. (AIMS), Springfield, MO.","","","N","N","Y","N","N"
"AIP Conf. Proc.","AIP Conference Proceedings","","Amer. Inst. Phys., Melville, NY.","","0094-243X","N","N","Y","N","N"
"AKCE Int. J. Graphs Comb.","AKCE International Journal of Graphs and Combinatorics","","Kalasalingam Univ., Krishnankoil.","","0972-8600","N","Y","N","N","N"
"Albanian J. Math.","Albanian Journal of Mathematics","","Aulona Press, White Lake, MI.","","1930-1235","N","Y","N","N","N"
"ALEA Lat. Am. J. Probab. Math. Stat.","ALEA. Latin American Journal of Probability and Mathematical Statistics","","Inst. Mat. Pura Apl. (IMPA), Rio de Janeiro.","","1980-0436","N","Y","N","N","N"
"Algebr. Appl.","Algebra and Applications","","Springer, New York.","","","N","N","Y","N","N"
"Algebr. Geom. Topol.","Algebraic & Geometric Topology","","Math. Sci. Publ., Berkeley, CA.","","1472-2747","N","Y","N","N","N"
"Algebr. Represent. Theory","Algebras and Representation Theory","","Springer, Dordrecht.","","1386-923X","N","Y","N","N","N"
"Algebra Colloq.","Algebra Colloquium","","World Sci. Publ., Singapore.","","1005-3867","N","Y","N","N","N"
"Algebra Discrete Math.","Algebra and Discrete Mathematics","","World Sci. Publ., Hackensack, NJ.","","1793-5873","N","N","Y","N","N"
"Algebra Discrete Math.","Algebra and Discrete Mathematics","","Lugansk Taras Shevchenko Natl. Univ., Lugansk.","","1726-3255","N","Y","N","N","N"
"Algebra i Analiz","Rossiiskaya Akademiya Nauk. Algebra i Analiz","","``Nauka'' S.-Peterburg. Otdel., St. Petersburg.","Translated in St. Petersburg Math. J.","0234-0852","N","Y","N","N","N"
"Algebra Logic","Algebra and Logic","","Springer, New York.","Translation of Algebra Logika","0002-5232","N","N","N","N","N"
"Algebra Logika","Algebra i Logika. Institut Diskretnoi Matematiki i Informatiki","","Sib. Fond Algebry Log., Novosibirsk.","Translated in Algebra Logic","0373-9252","N","Y","N","N","N"
"Algebra Number Theory","Algebra & Number Theory","","Math. Sci. Publ., Berkeley, CA.","","1937-0652","N","Y","N","N","N"
"Algebra Universalis","Algebra Universalis","","Birkhauser, Basel.","","0002-5240","N","Y","N","N","N"
"Algebras Groups Geom.","Algebras, Groups and Geometries","","Hadronic Press, Palm Harbor, FL.","","0741-9937","N","Y","N","N","N"
"Algorithmic Oper. Res.","Algorithmic Operations Research","","Preeminent Acad. Facets Inc., Surrey, BC.","","1718-3235","N","N","N","N","N"
"Algorithmica","Algorithmica. An International Journal in Computer Science","","Springer, New York.","","0178-4617","N","Y","N","N","N"
"Algorithms (Basel)","Algorithms (Basel)","","MDPI, Basel.","","1999-4893","N","N","N","N","N"
"Algorithms Combin.","Algorithms and Combinatorics","","Springer, Berlin.","","0937-5511","N","N","Y","N","N"
"Algorithms Comput. Math.","Algorithms and Computation in Mathematics","","Springer, Berlin.","","1431-1550","N","N","Y","N","N"
"Aligarh Bull. Math.","The Aligarh Bulletin of Mathematics","","Aligarh Muslim Univ., Aligarh.","","","N","Y","N","N","N"
"Aligarh J. Statist.","The Aligarh Journal of Statistics","","Aligarh Muslim Univ., Aligarh.","","0971-0388","N","N","N","N","N"
"Alkalmaz. Mat. Lapok","Alkalmazott Matematikai Lapok","","Magyar Tudomanyos Akad., Budapest.","","0133-3399","N","Y","N","N","N"
"Allahabad Math. Soc. Lect. Note Ser.","Allahabad Mathematical Society Lecture Note Series","","Allahabad Math. Soc., Allahabad.","","","N","N","Y","N","N"
"AMA Algebra Montp. Announc.","AMA. Algebra Montpellier Announcements","","AMA Algebra Montp. Announc., Montpellier.","","","N","Y","N","N","N"
"Amer. J. Math.","American Journal of Mathematics","","Johns Hopkins Univ. Press, Baltimore, MD.","","0002-9327","N","Y","N","N","N"
"Amer. J. Math. Management Sci.","American Journal of Mathematical and Management Sciences","","Amer. Sci. Press, Syracuse, NY.","","0196-6324","N","N","N","N","N"
"Amer. Math. Monthly","American Mathematical Monthly","","Math. Assoc. America, Washington, DC.","","0002-9890","N","N","N","N","N"
"Amer. Math. Soc. Colloq. Publ.","American Mathematical Society Colloquium Publications","","Amer. Math. Soc., Providence, RI.","","0065-9258","N","N","Y","N","N"
"Amer. Math. Soc. Transl. Ser. 2","American Mathematical Society Translations, Series 2","","Amer. Math. Soc., Providence, RI.","Selected translations of Russian language publications Tr. St.-Peterbg. Mat. Obshch.","0065-9290","N","N","Y","N","N"
"Amer. Statist.","The American Statistician","","Amer. Statist. Assoc., Alexandria, VA.","","0003-1305","N","N","N","N","N"
"AMS Short Course Lecture Notes","AMS Short Course Lecture Notes","","Amer. Math. Soc., Providence, RI.","See also Proc. Sympos. Appl. Math.","","N","N","Y","N","N"
"AMS/IP Stud. Adv. Math.","AMS/IP Studies in Advanced Mathematics","","Amer. Math. Soc., Providence, RI.","","1089-3288","N","N","Y","N","N"
"An. Acad. Brasil. Cienc.","Anais da Academia Brasileira de Ciencias","","Acad. Brasil. Cienc., Rio de Janeiro.","","0001-3765","N","N","N","N","N"
"An. Stiint. Univ. Al. I. Cuza Iasi. Mat. (N.S.)","Analele Stiintifice ale Universitatii ``Al. I. Cuza'' din Iasi. Serie Noua. Matematica","","Univ. Al. I. Cuza, Iasi.","","1221-8421","N","Y","N","N","N"
"An. Stiint. Univ. ``Ovidius'' Constanta Ser. Mat.","Analele Stiintifice ale Universitatii ``Ovidius'' Constanta. Seria Matematica. Mathematical Journal of the Ovidius University of Constantza","","Univ. ``Ovidius'' Constanta, Constanta.","","1224-1784","N","Y","N","N","N"
"An. Univ. Bucuresti Mat.","Analele Universitatii Bucuresti. Matematica","","Univ. Bucharest, Bucharest.","Continued as Ann. Univ. Buchar. Math. Ser.","1010-5433","N","Y","N","N","N"
"An. Univ. Bucuresti Mat. Inform.","Analele Universitatii Bucuresti. Matematica-Informatica","","Univ. Bucharest, Bucharest.","","1224-7170","N","Y","N","N","N"
"An. Univ. Craiova Ser. Mat. Inform.","Analele Universitatii din Craiova. Seria Matematica-Informatica. Annals of the University of Craiova. Mathematics and Computer Science Series","","Univ. Craiova, Craiova.","","1223-6934","N","N","N","N","N"
"An. Univ. Oradea Fasc. Mat.","Analele Universitatii din Oradea. Fascicola Matematica","","Univ. Oradea, Oradea.","","1221-1265","N","Y","N","N","N"
"An. Univ. Vest Timis. Ser. Mat.-Inform.","Analele. Universitatii de Vest din Timisoara. Seria Matematica-Informatica","","Univ. Vest Timisoara, Fac. Mat. Inform., Timisoara.","","1841-3293","N","Y","N","N","N"
"Anal. Appl. (Singap.)","Analysis and Applications","","World Sci. Publ., Singapore.","","0219-5305","N","Y","N","N","N"
"Anal. Math.","Analysis Mathematica","","Akad. Kiado, Budapest.","","0133-3852","N","Y","N","N","N"
"Anal. Math. Phys.","Analysis and Mathematical Physics","","Birkhauser, Basel.","","1664-2368","Y","Y","N","N","N"
"Anal. PDE","Analysis & PDE","","Math. Sci. Publ., Berkeley, CA.","","1948-206X","N","Y","N","N","N"
"Anal. Theory Appl.","Analysis in Theory and Applications","","Anal. Theory Appl., Editor. Board, Nanjing.","","1672-4070","N","Y","N","N","N"
"Analysis (Munich)","Analysis. International Mathematical Journal of Analysis and its Applications","","Oldenbourg, Munich.","","0174-4747","N","Y","N","N","N"
"Analysis (Oxford)","Analysis","","Oxford Univ. Press, Oxford.","","0003-2638","N","N","N","N","N"
"Anhui Daxue Xuebao. Ziran Kexue Ban","","","","See J. Anhui Univ. Nat. Sci.","","Y","N","N","N","N"
"Ann. Acad. Rom. Sci. Ser. Math. Appl.","Annals of the Academy of Romanian Scientists. Series on Mathematics and its Applications","","Ed. Acad. Oamen. Stiinta Rom., Bucharest.","","2066-5997","N","Y","N","N","N"
"Ann. Acad. Sci. Fenn. Math.","Annales Academiae Scientiarium Fennicae. Mathematica","","Acad. Sci. Fennica, Helsinki.","","1239-629X","N","Y","N","N","N"
